code,description
K35.9,"Acute appendicitis, unspecified"
A90,Dengue fever [classical dengue]
A01.0,Typhoid fever
I21.9,"Acute myocardial infarction, unspecified"
E11.1,Type 2 diabetes mellitus with ketoacidosis
H25.9,Unspecified senile cataract
K40.9,"Unilateral or unspecified inguinal hernia, without obstruction or gangrene"
J18.9,"Pneumonia, unspecified organism"
I63.9,"Cerebral infarction, unspecified"
S72.0,Fracture of neck of femur
K80.2,Calculus of gallbladder without cholecystitis
O82,Single delivery by caesarean section
K35.2,Acute appendicitis with generalized peritonitis
K35.3,Acute appendicitis with localized peritonitis
A91,Dengue haemorrhagic fever
A01.1,Paratyphoid fever A
I21.0,Acute transmural myocardial infarction of anterior wall
I21.4,Acute subendocardial myocardial infarction
E11.9,Type 2 diabetes mellitus without complications
E11.5,Type 2 diabetes mellitus with peripheral circulatory complications
H25.0,Senile incipient cataract
H25.1,Senile nuclear cataract
K40.3,"Unilateral or unspecified inguinal hernia, with gangrene"
J18.0,"Bronchopneumonia, unspecified"
J18.1,"Lobar pneumonia, unspecified"
J44.1,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified"
I63.5,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries
S72.1,Pertrochanteric fracture
S72.3,Fracture of shaft of femur
K80.0,Calculus of gallbladder with acute cholecystitis
K80.1,Calculus of gallbladder with other cholecystitis
O80,Single spontaneous delivery
O81,Single delivery by forceps and vacuum extractor
E78.5,"Hyperlipidaemia, unspecified"
I10,Essential (primary) hypertension
N18.5,"Chronic kidney disease, stage 5"
N39.0,"Urinary tract infection, site not specified"
R50.9,"Fever, unspecified"
J06.9,"Acute upper respiratory infection, unspecified"
K29.7,"Gastritis, unspecified"
M54.5,Low back pain
D64.9,"Anaemia, unspecified"
B34.9,"Viral infection, unspecified"
A01.2,Paratyphoid fever B
A01.3,Paratyphoid fever C
A01.4,"Paratyphoid fever, unspecified"
I21.1,Acute transmural myocardial infarction of inferior wall
I21.2,Acute transmural myocardial infarction of other sites
I21.3,Acute transmural myocardial infarction of unspecified site
E11.2,Type 2 diabetes mellitus with renal complications
E11.3,Type 2 diabetes mellitus with ophthalmic complications
E11.6,Type 2 diabetes mellitus with other specified complications
H25.2,"Senile cataract, morgagnian type"
H25.8,Other senile cataract
K40.0,"Bilateral inguinal hernia, with obstruction, without gangrene"
K40.1,"Bilateral inguinal hernia, with gangrene"
J18.2,"Hypostatic pneumonia, unspecified"
J18.8,"Other pneumonia, organism unspecified"
I63.0,Cerebral infarction due to thrombosis of precerebral arteries
I63.1,Cerebral infarction due to embolism of precerebral arteries
